Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guyana,GUY,DeathInfant,SH.DTH.IMRT,1613.0,1570.0,1529.0,1493.0,1465.0,1442.0,1423.0,1411.0,1401.0,1396.0,1391.0,1386.0,1378.0,1366.0,1349.0,1330.0,1310.0,1292.0,1277.0,1265.0,1257.0,1247.0,1233.0,1214.0,1188.0,1156.0,1120.0,1084.0,1049.0,1017.0,988.0,962.0,939.0,915.0,891.0,866.0,839.0,811.0,781.0,749.0,717.0,684.0,653.0,622.0,594.0,568.0,546.0,526.0,510.0,496.0,485.0,475.0,466.0,456.0,444.0,432.0,418.0,405.0,391.0,378.0,364.0
Honduras,HND,DeathInfant,SH.DTH.IMRT,13761.0,13639.0,13529.0,13434.0,13343.0,13273.0,13206.0,13129.0,13031.0,12909.0,12765.0,12604.0,12437.0,12267.0,13376.0,11904.0,11745.0,11555.0,11350.0,11132.0,10903.0,10664.0,10409.0,10150.0,9894.0,9633.0,9389.0,9147.0,8916.0,8689.0,8477.0,8287.0,8118.0,7965.0,7821.0,7680.0,7528.0,7353.0,9050.0,6920.0,6683.0,6419.0,6138.0,5854.0,5575.0,5308.0,5051.0,4806.0,4565.0,4334.0,4122.0,3933.0,3763.0,3614.0,3481.0,3359.0,3264.0,3173.0,3080.0,2988.0,2900.0
"Korea, Rep.",KOR,DeathInfant,SH.DTH.IMRT,83304.0,79823.0,76207.0,72382.0,68381.0,64251.0,60060.0,55972.0,52115.0,48477.0,45143.0,42123.0,39443.0,37025.0,34807.0,32774.0,30865.0,29084.0,27429.0,25818.0,24206.0,22529.0,20717.0,18799.0,16840.0,14918.0,13182.0,11676.0,10478.0,9560.0,8846.0,8273.0,7765.0,7262.0,6745.0,6205.0,5653.0,5117.0,4616.0,4162.0,3757.0,3395.0,3072.0,2780.0,2513.0,2272.0,2068.0,1905.0,1778.0,1680.0,1605.0,1540.0,1475.0,1408.0,1339.0,1267.0,1195.0,1125.0,1059.0,997.0,940.0
Mexico,MEX,DeathInfant,SH.DTH.IMRT,177333.0,175211.0,173509.0,172187.0,171235.0,170443.0,169781.0,169170.0,168300.0,167163.0,165503.0,163273.0,160578.0,157391.0,153836.0,149761.0,145370.0,140681.0,135878.0,130990.0,126165.0,121520.0,117053.0,112893.0,108878.0,105176.0,101540.0,97994.0,94444.0,90848.0,87245.0,83663.0,80131.0,76698.0,73365.0,70174.0,67093.0,64089.0,61246.0,58519.0,55921.0,53456.0,51158.0,48938.0,46884.0,44987.0,43211.0,41560.0,40080.0,38731.0,37469.0,36250.0,35073.0,33910.0,32728.0,31538.0,30368.0,29178.0,28010.0,26892.0,25833.0
Nicaragua,NIC,DeathInfant,SH.DTH.IMRT,11853.0,11903.0,11942.0,11988.0,12031.0,12091.0,12158.0,12243.0,12341.0,12462.0,12573.0,12678.0,13672.0,12750.0,12707.0,12569.0,12351.0,12073.0,11756.0,11402.0,11028.0,10639.0,10246.0,9866.0,9493.0,9145.0,8814.0,8500.0,8195.0,7890.0,7571.0,7243.0,6897.0,6543.0,6179.0,5822.0,5472.0,5140.0,5196.0,4546.0,4294.0,4066.0,3866.0,3681.0,3519.0,3373.0,3236.0,3111.0,2992.0,2879.0,2771.0,2666.0,2561.0,2458.0,2356.0,2257.0,2162.0,2069.0,1981.0,1893.0,1812.0
Panama,PAN,DeathInfant,SH.DTH.IMRT,3065.0,3062.0,3052.0,3038.0,3024.0,3007.0,2985.0,2960.0,2930.0,2889.0,2834.0,2767.0,2689.0,2605.0,2519.0,2440.0,2369.0,2303.0,2245.0,2191.0,2136.0,2082.0,2028.0,1976.0,1924.0,1875.0,1829.0,1788.0,1747.0,1710.0,1677.0,1649.0,1629.0,1613.0,1603.0,1598.0,1594.0,1589.0,1581.0,1567.0,1548.0,1523.0,1497.0,1470.0,1445.0,1421.0,1398.0,1373.0,1347.0,1323.0,1297.0,1271.0,1244.0,1212.0,1181.0,1150.0,1114.0,1080.0,1047.0,1011.0,979.0
Peru,PER,DeathInfant,SH.DTH.IMRT,63039.0,62973.0,62723.0,62338.0,61782.0,61140.0,60433.0,59756.0,59126.0,58530.0,63498.0,57225.0,56655.0,55937.0,55170.0,54413.0,53734.0,53170.0,52712.0,52279.0,51787.0,51197.0,50432.0,49435.0,48177.0,46662.0,44997.0,43249.0,41483.0,39759.0,38010.0,36151.0,34146.0,32031.0,29847.0,27648.0,25468.0,23384.0,21424.0,19600.0,17990.0,16582.0,15389.0,14360.0,13470.0,12665.0,11924.0,11213.0,10525.0,9858.0,9227.0,8646.0,8113.0,7651.0,7261.0,6923.0,6632.0,6374.0,6132.0,5916.0,5710.0
Paraguay,PRY,DeathInfant,SH.DTH.IMRT,4766.0,4823.0,4891.0,4960.0,5035.0,5106.0,5170.0,5215.0,5243.0,5255.0,5258.0,5256.0,5257.0,5273.0,5304.0,5350.0,5414.0,5488.0,5559.0,5621.0,5671.0,5701.0,5700.0,5683.0,5647.0,5590.0,5514.0,5425.0,5321.0,5207.0,5088.0,4968.0,4847.0,4736.0,4631.0,4531.0,4432.0,4332.0,4230.0,4121.0,4004.0,3886.0,3772.0,3669.0,3577.0,3487.0,3414.0,3334.0,3252.0,3171.0,3090.0,3002.0,2915.0,2833.0,2755.0,2683.0,2612.0,2535.0,2457.0,2379.0,2313.0
El Salvador,SLV,DeathInfant,SH.DTH.IMRT,15887.0,15975.0,16033.0,16081.0,16100.0,16102.0,16079.0,16054.0,16019.0,15971.0,15915.0,15853.0,15751.0,15612.0,15426.0,15176.0,14837.0,14435.0,13953.0,13417.0,14128.0,12189.0,11572.0,10950.0,10336.0,9763.0,9238.0,8768.0,8342.0,7951.0,7582.0,7228.0,6887.0,6544.0,6196.0,5840.0,5474.0,5106.0,4739.0,4389.0,4056.0,3739.0,3453.0,3193.0,2962.0,2755.0,2575.0,2416.0,2272.0,2141.0,2020.0,1911.0,1810.0,1722.0,1645.0,1577.0,1513.0,1451.0,1394.0,1338.0,1284.0
Suriname,SUR,DeathInfant,SH.DTH.IMRT,,,,,,,,,,,,,,,,,,,,,,,,,503.0,492.0,480.0,468.0,457.0,445.0,434.0,423.0,410.0,397.0,384.0,370.0,356.0,342.0,329.0,317.0,306.0,296.0,286.0,276.0,267.0,258.0,250.0,242.0,235.0,229.0,223.0,217.0,211.0,206.0,201.0,195.0,190.0,184.0,178.0,172.0,166.0
