Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,MEX,Tractors_num,AG.AGR.TRAC.NO,,56000.0,60000.0,64000.0,68000.0,72000.0,76000.0,80150.0,83900.0,87600.0,91354.0,92800.0,94300.0,95700.0,97200.0,98700.0,100100.0,101611.0,108259.0,114000.0,115057.0,143078.0,146083.0,152319.0,155000.0,178570.57,202141.14,225711.71,250000.0,272900.0,300000.0,317313.0,312408.0,307503.0,302597.0,297692.0,292787.0,287882.0,282977.0,278072.0,273166.0,268261.0,263356.0,258451.0,253546.0,248640.0,243735.0,238830.0,,,,,,,,,,,,,
Nicaragua,NIC,Tractors_num,AG.AGR.TRAC.NO,,130.0,150.0,180.0,200.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,768.0,1058.0,1316.0,1636.0,1900.0,2100.0,2200.0,2250.0,2300.0,2350.0,2400.0,2430.0,2450.0,2480.0,2500.0,2550.0,2600.0,2650.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,Tractors_num,AG.AGR.TRAC.NO,,347.0,550.0,800.0,1000.0,1250.0,1450.0,1700.0,1900.0,2150.0,2400.0,2693.0,3000.0,3310.0,3610.0,3920.0,4230.0,4530.0,4840.0,5150.0,5458.0,5420.0,5380.0,5350.0,5310.0,5270.0,5240.0,5200.0,5160.0,5120.0,5090.0,5047.0,5340.0,5640.0,5945.0,6220.0,6500.0,6830.0,7135.0,7500.0,8066.0,,,,,,,,,,,,,,,,,,,,
Peru,PER,Tractors_num,AG.AGR.TRAC.NO,,6950.0,7385.0,7700.0,8000.0,8500.0,9000.0,9500.0,10000.0,10431.0,10976.0,11100.0,11200.0,11350.0,11500.0,11600.0,11650.0,11650.0,11750.0,11800.0,11900.0,11900.0,11900.0,11900.0,12000.0,12000.0,12500.0,12500.0,12500.0,12700.0,12700.0,12750.0,12800.0,13000.0,13000.0,13191.0,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,Tractors_num,AG.AGR.TRAC.NO,,3900.0,4000.0,4100.0,4200.0,4300.0,4400.0,4500.0,4600.0,4700.0,4800.0,4900.0,5000.0,5100.0,5200.0,5300.0,5500.0,5800.0,6200.0,6700.0,7300.0,8035.0,8800.0,9600.0,10400.0,11200.0,12000.0,12700.0,13500.0,14300.0,15100.0,15878.0,16460.0,17050.0,17635.0,18220.0,18800.0,19385.0,19970.0,20550.0,21135.0,21720.0,22300.0,22885.0,23470.0,24055.0,24640.0,25225.0,25823.0,,,,,,,,,,,,
El Salvador,SLV,Tractors_num,AG.AGR.TRAC.NO,,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0,2200.0,2300.0,2400.0,2500.0,2642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,Tractors_num,AG.AGR.TRAC.NO,,580.0,590.0,600.0,730.0,760.0,790.0,820.0,850.0,901.0,920.0,940.0,960.0,980.0,990.0,1010.0,1030.0,1050.0,1070.0,1090.0,1100.0,1120.0,1140.0,1160.0,1180.0,1202.0,1183.0,1164.0,1145.0,1126.0,1107.0,1088.0,1069.0,1050.0,1032.0,1013.0,994.0,975.0,956.0,937.0,918.0,899.0,880.0,861.0,988.0,869.0,758.0,885.0,1013.0,,,,,,,,,,,,
Uruguay,URY,Tractors_num,AG.AGR.TRAC.NO,,24695.0,25330.0,25960.0,26590.0,27220.0,27856.0,28290.0,29020.0,29450.0,29577.0,29910.0,30240.0,30570.0,30900.0,31230.0,31560.0,31890.0,32220.0,32550.0,32878.0,33160.0,33450.0,33750.0,34000.0,34600.0,35274.0,34700.0,34100.0,33500.0,32804.0,32800.0,33000.0,33000.0,33000.0,33000.0,33000.0,33866.0,34732.0,35599.0,36465.0,36465.0,36465.0,36465.0,36465.0,36465.0,36465.0,36465.0,36465.0,,,,,,,,,,,,
Argentina,ARG,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,523.903225806452,211.85,421.6,590.0,810.0,1413.87842926304,604.183214191157,265.846854987624,381.627170680226,246.602822009407,176.632302405498,200.46511627907,247.916728713107,250.333333333333,245.121951219512,271.628472222222,264.24253200569,370.463273708612,494.232522796353,373.559168633028,382.639907983977,227.021276595745,236.526946107784,301.330798479087,312.692307692308,420.042797987939,383.333333333333,318.003913894325,309.292929292929,315.238095238095,397.104201281747,759.300048947626,537.904022841246,708.741140735741,900.0,1059.72738537794,833.779608650875,786.511156186613,688.545150501672,587.063265306122,198.936302792522,160.851250716059,197.584494939851,222.144902046064,208.362549391813,218.98272683826,382.688116552721,305.880309793373,153.278635922547,343.588393790997,303.389553985328,253.005789829734,209.359991569461,255.653331424965,212.515123027388,259.562666258848,236.723822869906,364.065552052248,,
Belize,BLZ,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
