Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guyana,GUY,TechCoopGrants,BX.GRT.TECH.CD.WD,100000.0,310000.0,480000.0,560000.0,730000.0,550000.0,1390000.0,2620000.0,2880000.0,5680000.0,3200000.0,2810000.0,2830000.0,2880000.0,3540000.0,4590000.0,3690000.0,2530000.0,4250000.0,4930000.0,4840000.0,6770000.0,6380000.0,3870000.0,4550000.0,3460000.0,3940000.0,3850000.0,5680000.0,6900000.0,8490000.0,11690000.0,10870000.0,9700000.0,11130000.0,15630000.0,15830000.0,13620000.0,9190000.0,12670000.0,16130000.0,18120000.0,18660000.0,30560000.0,21440000.0,26710000.0,32150000.0,8250000.0,9790000.0,14240000.0,10800000.0,13870000.0,13980000.0,8340000.0,9370000.0,7480000.0,8580000.0,10720000.0,7970000.0,7970000.0,
Honduras,HND,TechCoopGrants,BX.GRT.TECH.CD.WD,5010000.0,440000.0,680000.0,610000.0,530000.0,380000.0,3800000.0,3720000.0,3410000.0,5220000.0,5730000.0,5750000.0,6210000.0,7480000.0,7240000.0,6840000.0,7720000.0,10430000.0,12570000.0,11940000.0,17620000.0,18580000.0,23540000.0,36720000.0,44070000.0,43320000.0,59010000.0,62770000.0,77770000.0,89190000.0,92490000.0,75350000.0,81930000.0,84360000.0,52040000.0,81820000.0,74130000.0,73900000.0,67720000.0,68440000.0,120450000.0,219170000.0,119060000.0,93040000.0,103070000.0,99080000.0,83410000.0,55780000.0,83640000.0,77640000.0,54810000.0,64590000.0,68580000.0,51800000.0,43170000.0,39920000.0,42110000.0,38870000.0,50640000.0,34310000.0,
"Korea, Rep.",KOR,TechCoopGrants,BX.GRT.TECH.CD.WD,250000.0,230000.0,680000.0,1290000.0,1500000.0,2290000.0,9880000.0,11640000.0,11180000.0,21060000.0,13140000.0,16020000.0,17090000.0,16230000.0,16940000.0,20480000.0,21710000.0,25350000.0,26780000.0,30730000.0,33620000.0,31910000.0,30610000.0,29470000.0,29590000.0,33810000.0,44310000.0,66580000.0,71960000.0,74130000.0,100440000.0,94670000.0,118320000.0,148970000.0,115440000.0,143970000.0,144760000.0,104740000.0,147320000.0,156280000.0,118460000.0,82890000.0,86940000.0,94510000.0,102460000.0,,,,,,,,,,,,,,,,
Mexico,MEX,TechCoopGrants,BX.GRT.TECH.CD.WD,6120000.0,540000.0,2330000.0,2890000.0,3650000.0,3110000.0,3190000.0,3320000.0,1770000.0,5000000.0,5990000.0,7010000.0,7970000.0,9470000.0,12200000.0,16850000.0,16080000.0,17910000.0,20190000.0,24460000.0,43690000.0,42320000.0,32110000.0,35320000.0,42220000.0,47310000.0,56980000.0,65210000.0,67900000.0,64060000.0,77490000.0,85390000.0,110460000.0,113720000.0,102950000.0,121200000.0,126200000.0,100290000.0,111020000.0,102120000.0,105320000.0,114690000.0,171270000.0,149620000.0,126660000.0,141980000.0,190900000.0,103920000.0,130910000.0,146390000.0,114240000.0,108830000.0,119740000.0,119400000.0,126920000.0,108250000.0,114430000.0,122240000.0,119990000.0,114970000.0,
Nicaragua,NIC,TechCoopGrants,BX.GRT.TECH.CD.WD,8010000.0,380000.0,540000.0,550000.0,720000.0,940000.0,3340000.0,3500000.0,3240000.0,4130000.0,4280000.0,4320000.0,4880000.0,5520000.0,4750000.0,6190000.0,8390000.0,5250000.0,6500000.0,10820000.0,16180000.0,23530000.0,22370000.0,24120000.0,22940000.0,26440000.0,35510000.0,37520000.0,54220000.0,50810000.0,69930000.0,114020000.0,142260000.0,110710000.0,126590000.0,127940000.0,111100000.0,104840000.0,100510000.0,89440000.0,113570000.0,135940000.0,107390000.0,99610000.0,97650000.0,100230000.0,110650000.0,85470000.0,108360000.0,111480000.0,98620000.0,79100000.0,75320000.0,57760000.0,57040000.0,37910000.0,46590000.0,50960000.0,34910000.0,22730000.0,
Panama,PAN,TechCoopGrants,BX.GRT.TECH.CD.WD,12960000.0,190000.0,580000.0,480000.0,710000.0,580000.0,4140000.0,5260000.0,4210000.0,5490000.0,7760000.0,8390000.0,6750000.0,6320000.0,3960000.0,4260000.0,5120000.0,3230000.0,5080000.0,5210000.0,7570000.0,8970000.0,10240000.0,11960000.0,14390000.0,14980000.0,20490000.0,20440000.0,15310000.0,14670000.0,-16360000.0,36830000.0,27090000.0,35060000.0,27980000.0,42860000.0,29290000.0,24710000.0,26980000.0,22880000.0,22500000.0,23880000.0,28910000.0,32970000.0,30360000.0,24910000.0,36030000.0,14880000.0,16360000.0,19320000.0,18110000.0,18510000.0,19610000.0,16370000.0,18440000.0,14160000.0,18120000.0,18770000.0,17350000.0,11410000.0,
Peru,PER,TechCoopGrants,BX.GRT.TECH.CD.WD,650000.0,820000.0,1760000.0,1780000.0,2470000.0,2840000.0,13430000.0,14880000.0,10140000.0,13070000.0,12920000.0,20710000.0,19320000.0,25380000.0,28500000.0,34520000.0,35680000.0,38290000.0,43600000.0,49490000.0,61800000.0,62750000.0,63210000.0,68750000.0,65860000.0,74980000.0,87150000.0,110930000.0,123520000.0,107930000.0,123430000.0,122060000.0,110880000.0,116810000.0,95670000.0,124620000.0,120470000.0,140040000.0,176670000.0,202790000.0,150000000.0,216350000.0,225840000.0,281980000.0,276780000.0,282880000.0,312910000.0,119230000.0,179260000.0,173990000.0,165510000.0,155660000.0,170130000.0,140130000.0,150890000.0,120270000.0,132590000.0,110930000.0,117630000.0,116390000.0,
Paraguay,PRY,TechCoopGrants,BX.GRT.TECH.CD.WD,840000.0,480000.0,560000.0,460000.0,670000.0,1000000.0,4180000.0,4280000.0,3160000.0,4650000.0,6910000.0,6400000.0,6350000.0,7650000.0,6390000.0,9580000.0,8690000.0,10100000.0,11690000.0,12220000.0,20320000.0,21600000.0,20710000.0,19950000.0,21260000.0,22820000.0,29140000.0,31860000.0,37110000.0,34250000.0,39850000.0,44260000.0,57910000.0,56970000.0,53870000.0,63320000.0,51500000.0,47800000.0,44710000.0,48400000.0,50300000.0,40290000.0,43260000.0,45150000.0,45250000.0,42450000.0,47530000.0,35020000.0,41480000.0,55670000.0,53180000.0,44300000.0,47310000.0,39660000.0,39050000.0,33850000.0,33370000.0,40250000.0,34410000.0,36450000.0,
El Salvador,SLV,TechCoopGrants,BX.GRT.TECH.CD.WD,1010000.0,410000.0,670000.0,520000.0,560000.0,350000.0,4520000.0,4150000.0,3630000.0,5990000.0,6370000.0,5230000.0,4520000.0,5240000.0,5360000.0,6920000.0,7160000.0,8500000.0,7750000.0,8740000.0,9300000.0,11610000.0,14970000.0,15560000.0,32100000.0,34810000.0,73240000.0,89150000.0,107800000.0,137230000.0,126590000.0,119890000.0,159400000.0,161830000.0,179850000.0,129030000.0,104620000.0,115610000.0,66530000.0,67650000.0,82320000.0,85280000.0,103280000.0,118720000.0,132900000.0,80440000.0,69130000.0,48880000.0,73800000.0,79000000.0,58950000.0,43850000.0,53150000.0,39680000.0,38220000.0,27830000.0,29030000.0,24960000.0,29140000.0,24760000.0,
Suriname,SUR,TechCoopGrants,BX.GRT.TECH.CD.WD,20000.0,40000.0,40000.0,790000.0,250000.0,3080000.0,3590000.0,3910000.0,,170000.0,370000.0,420000.0,2040000.0,1020000.0,4300000.0,5200000.0,3640000.0,3980000.0,4440000.0,6760000.0,5910000.0,4620000.0,3380000.0,4440000.0,1840000.0,3170000.0,1760000.0,5300000.0,5160000.0,6550000.0,11140000.0,22000000.0,59310000.0,52460000.0,26450000.0,38940000.0,58480000.0,33140000.0,26670000.0,19760000.0,3710000.0,3130000.0,3820000.0,12520000.0,12030000.0,11970000.0,6170000.0,2620000.0,4470000.0,6570000.0,7020000.0,4750000.0,6080000.0,3800000.0,2530000.0,2530000.0,3750000.0,3810000.0,1900000.0,1660000.0,
Uruguay,URY,TechCoopGrants,BX.GRT.TECH.CD.WD,-60000.0,110000.0,360000.0,540000.0,260000.0,280000.0,2880000.0,2730000.0,2400000.0,3540000.0,2540000.0,3820000.0,3500000.0,4790000.0,5190000.0,6570000.0,6410000.0,6090000.0,5760000.0,6100000.0,8700000.0,8580000.0,8830000.0,7610000.0,7770000.0,8440000.0,10260000.0,16350000.0,19260000.0,22210000.0,24230000.0,23280000.0,30460000.0,30030000.0,30640000.0,32240000.0,25600000.0,24990000.0,20900000.0,19280000.0,15060000.0,16070000.0,14750000.0,15910000.0,14620000.0,12520000.0,13840000.0,16300000.0,21880000.0,24400000.0,23870000.0,18630000.0,14650000.0,13190000.0,10940000.0,11080000.0,12120000.0,12530000.0,,,
Argentina,ARG,HIV_Pct,SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Belize,BLZ,HIV_Pct,SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2
Bolivia,BOL,HIV_Pct,SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
